source_repo,folder,data_type,period,total_files,success_files,failed_files,accepted_exception_files,retryable_failed_files,rate_limited_files,systemic_failed_files,not_processed_files,success_rate_pct,completion_rate_pct,duration,lag,s1,limit,batch_duration,retry_rate,stale_after_days,download_health_status,checked_at,notes
Python-Actions.GoodInfo,DividendDetail,1,Daily,132,130,0,1,0,1,0,0,98.5,100.8,2h 32m ago,2h 33m ago / 3h 26m ago,-,3d,53m,1.0x,3,warning,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,BasicInfo,2,Manual,0,0,0,0,0,0,0,0,0.0,0.0,N/A,N/A,-,-,N/A,N/A,,manual,2026-07-01T12:26:43.267185+08:00,Folder not found
Python-Actions.GoodInfo,StockDetail,3,Manual,0,0,0,0,0,0,0,0,0.0,0.0,N/A,N/A,-,-,N/A,N/A,,manual,2026-07-01T12:26:43.267185+08:00,Folder not found
Python-Actions.GoodInfo,StockBzPerformance,4,Weekly,132,131,0,1,0,0,0,0,99.2,101.5,6h 4m ago,6h 4m ago / 8h 24m ago,-,7d,2h 20m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,ShowSaleMonChart,5,Daily,132,130,0,1,0,1,0,0,98.5,100.8,57m ago,58m ago / 4h 8m ago,-,1d,3h 10m,1.0x,1,warning,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,EquityDistribution,6,Weekly,132,131,0,1,0,0,0,0,99.2,101.5,5h 47m ago,5h 47m ago / 7h 54m ago,-,7d,2h 6m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,StockBzPerformance1,7,Weekly,132,131,0,1,0,0,0,0,99.2,101.5,6h 26m ago,6h 26m ago / 7h 18m ago,-,7d,52m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,ShowK_ChartFlow,8,Weekly,132,132,0,0,0,0,0,0,100.0,101.5,11h 36m ago,11h 36m ago / 13h 29m ago,-,7d,1h 52m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,StockHisAnaQuar,9,Weekly,132,132,0,0,0,0,0,0,100.0,101.5,5h 11m ago,5h 11m ago / 8h 43m ago,-,7d,3h 31m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,EquityDistributionClassHis,10,Weekly,132,131,0,1,0,0,0,0,99.2,101.5,10h 41m ago,10h 40m ago / 11h 34m ago,-,7d,53m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,WeeklyTradingData,11,Weekly,132,132,0,0,0,0,0,0,100.0,101.5,8h 25m ago,8h 25m ago / 9h 41m ago,-,7d,1h 16m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,ShowMonthlyK_ChartFlow,12,Monthly,132,131,0,1,0,0,0,0,99.2,101.5,14h 40m ago,14h 40m ago / 13d 20h ago,-,30d,13d 6h,1.0x,30,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,ShowMarginChart,13,Daily,132,131,0,0,0,1,0,0,99.2,100.8,1h 12m ago,1h 12m ago / 2h 16m ago,-,1d,1h 4m,1.0x,1,warning,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,ShowMarginChartWeek,14,Weekly,132,132,0,0,0,0,0,0,100.0,101.5,9h 46m ago,9h 46m ago / 10h 39m ago,-,7d,53m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,ShowMarginChartMonth,15,Monthly,132,132,0,0,0,0,0,0,100.0,101.5,13h 30m ago,13h 30m ago / 14h 37m ago,-,30d,1h 6m,1.0x,30,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,StockFinDetail,16,Monthly,132,131,0,1,0,0,0,0,99.2,101.5,2h 50m ago,2h 50m ago / 10d 13h ago,-,30d,10d 10h,1.0x,30,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,ShowWeeklyK_ChartFlow,17,Weekly,132,132,0,0,0,0,0,0,100.0,101.5,11h 39m ago,11h 39m ago / 12h 38m ago,-,7d,58m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,ShowDailyK_ChartFlow,18,Daily,132,132,0,0,0,0,0,0,100.0,101.5,now,now / 11d 10h ago,-,1d,11d 10h,1.0x,1,healthy,2026-07-01T12:26:43.267185+08:00,
Python-Actions.GoodInfo,Dividenschedule,19,Weekly,132,132,0,0,0,0,0,0,100.0,101.5,4h 12m ago,4h 12m ago / 5h 9m ago,-,7d,57m,1.0x,7,healthy,2026-07-01T12:26:43.267185+08:00,
